Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
44,CA-2024-100030,2021-06-30,2021-07-02,Same Day,WH-13718,William Harris,Consumer,United States,Philadelphia,Pennsylvania,19104.0,East,OFF-EN-10000220,Office Supplies,Envelopes,Envelopes Model Pro 512,1286.98,7,0.3,183.85
45,CA-2024-100030,2021-06-30,2021-07-02,Same Day,WH-13718,William Harris,Consumer,United States,Philadelphia,Pennsylvania,19104.0,East,FUR-BO-10000020,Furniture,Bookcases,Bookcases Model Lite 607,267.06,9,0.1,89.02
46,CA-2021-100031,2024-10-17,2024-10-18,Second Class,JD-87656,James Davis,Corporate,United States,Houston,Texas,77002.0,Central,TEC-CO-10000356,Technology,Copiers,Copiers Model Plus 291,7954.11,6,0.15,2339.44
47,CA-2021-100032,2021-04-04,2021-04-06,First Class,JD-45804,James Davis,Consumer,United States,Houston,Texas,77002.0,Central,TEC-CO-10000373,Technology,Copiers,Copiers Model Lite 677,7737.55,9,0.7,-7737.55
48,CA-2021-100032,2021-04-04,2021-04-06,First Class,JD-45804,James Davis,Consumer,United States,Houston,Texas,77002.0,Central,TEC-MA-10000352,Technology,Machines,Machines Model Standard 928,6607.68,3,0.2,1651.92
49,CA-2024-100033,2021-02-09,2021-02-11,Second Class,RP-31465,Robert Powers,Corporate,United States,Philadelphia,Pennsylvania,19104.0,East,TEC-CO-10000376,Technology,Copiers,Copiers Model Lite 589,835.96,1,0.7,-835.96
50,CA-2023-100034,2024-01-01,2024-01-05,Standard Class,JA-35513,John Anderson,Corporate,United States,Portland,Oregon,97201.0,West,FUR-TA-10000056,Furniture,Tables,Tables Model Pro 937,2387.28,1,0.0,954.91
51,CA-2023-100034,2024-01-01,2024-01-05,Standard Class,JA-35513,John Anderson,Corporate,United States,Portland,Oregon,97201.0,West,OFF-AP-10000195,Office Supplies,Appliances,Appliances Model Lite 216,141.27,2,0.5,-28.25
52,CA-2023-100035,2023-05-12,2023-05-16,First Class,JA-17263,Jessica Anderson,Consumer,United States,New York City,New York,10024.0,East,TEC-PH-10000311,Technology,Phones,Phones Model Standard 986,311.49,3,0.3,44.5
53,CA-2021-100036,2021-08-06,2021-08-10,Second Class,AA-59856,Ashley Anderson,Corporate,United States,Phoenix,Arizona,85001.0,West,OFF-FA-10000268,Office Supplies,Fasteners,Fasteners Model Plus 611,1032.51,4,0.2,258.13
54,CA-2021-100036,2021-08-06,2021-08-10,Second Class,AA-59856,Ashley Anderson,Corporate,United States,Phoenix,Arizona,85001.0,West,FUR-BO-10000021,Furniture,Bookcases,Bookcases Model Ultra 758,1830.38,9,0.4,-0.0
55,CA-2022-100037,2021-01-06,2021-01-07,Standard Class,AF-45697,Amanda Foster,Corporate,United States,Richmond,Virginia,23219.0,South,TEC-PH-10000294,Technology,Phones,Phones Model Ultra 636,330.4,8,0.0,132.16
56,CA-2023-100038,2024-08-12,2024-08-14,First Class,MW-48974,Megan Wilson,Home Office,United States,Los Angeles,California,90036.0,West,OFF-EN-10000238,Office Supplies,Envelopes,Envelopes Model Ultra 184,192.2,1,0.0,76.88
57,CA-2023-100038,2024-08-12,2024-08-14,First Class,MW-48974,Megan Wilson,Home Office,United States,Los Angeles,California,90036.0,West,OFF-BI-10000149,Office Supplies,Binders,Binders Model Ultra 125,295.87,6,0.8,-591.75
58,CA-2021-100039,2021-10-11,2021-10-15,Second Class,SP-71537,Sarah Powers,Corporate,United States,Los Angeles,California,90036.0,West,OFF-AP-10000184,Office Supplies,Appliances,Appliances Model Standard 734,87.05,8,0.7,-87.05
59,CA-2022-100040,2021-08-22,2021-08-26,Same Day,RJ-69510,Robert Johnson,Consumer,United States,Detroit,Michigan,48201.0,Central,OFF-AP-10000198,Office Supplies,Appliances,Appliances Model Standard 659,655.7,8,0.3,93.67
60,CA-2022-100040,2021-08-22,2021-08-26,Same Day,RJ-69510,Robert Johnson,Consumer,United States,Detroit,Michigan,48201.0,Central,FUR-TA-10000058,Furniture,Tables,Tables Model Plus 109,4756.89,3,0.0,1902.76
61,CA-2024-100041,2024-03-11,2024-03-15,Second Class,AM-76683,Ashley Miller,Consumer,United States,Portland,Oregon,97201.0, West ,OFF-AP-10000195,Office Supplies,Appliances,Appliances Model Lite 216,254.29,6,0.7,-254.28
62,CA-2024-100042,2021-08-20,2021-08-26,Same Day,AF-76542,Ashley Foster,Consumer,United States,Boston,Massachusetts,2108.0,East,FUR-CH-10000033,Furniture,Chairs,Chairs Model Ultra 486,340.1,5,0.8,-680.2
63,CA-2024-100042,2021-08-20,2021-08-26,Same Day,AF-76542,Ashley Foster,Consumer,United States,Boston,Massachusetts,2108.0,East,TEC-MA-10000348,Technology,Machines,Machines Model Pro 950,2640.47,9,0.7,-2640.46
64,CA-2024-100043,2024-09-17,2024-09-21,Same Day,ET-11231,Emily Thomas,Corporate,United States,Chicago,Illinois,60611.0,Central,TEC-MA-10000340,Technology,Machines,Machines Model Plus 562,7623.14,7,0.0,3049.26
65,CA-2022-100044,2023-11-02,2023-11-08,Same Day,MJ-60328,Michael Jackson,Corporate,United States,Los Angeles,California,90036.0,West,FUR-CH-10000039,Furniture,Chairs,Chairs Model Pro 864,3198.66,8,0.2,799.67
66,CA-2022-100044,2023-11-02,2023-11-08,Same Day,MJ-60328,Michael Jackson,Corporate,United States,Los Angeles,California,90036.0,West,FUR-BO-10000026,Furniture,Bookcases,Bookcases Model Plus 925,1918.73,9,0.1,639.58
67,CA-2024-100045,2023-06-29,2023-07-05,Same Day,RA-17989,Robert Anderson,Home Office,United States,New York City,New York,10024.0,East,OFF-FA-10000256,Office Supplies,Fasteners,Fasteners Model Standard 980,745.28,8,0.2,186.32
68,CA-2024-100046,2023-04-25,2023-04-26,Standard Class,CA-20500,Claire Anderson,Consumer,United States,Los Angeles,California,90036.0,West,TEC-PH-10000310,Technology,Phones,Phones Model Pro 510,109.43,5,0.5,-21.88
69,CA-2024-100046,2023-04-25,2023-04-26,Standard Class,CA-20500,Claire Anderson,Consumer,United States,Los Angeles,California,90036.0,West,OFF-EN-10000234,Office Supplies,Envelopes,Envelopes Model Plus 551,1121.71,6,0.2,280.43
70,CA-2024-100047,2024-09-07,2024-09-11,Same Day,JJ-16658,James Johnson,Consumer,United States,Richmond,Virginia,23219.0,South,FUR-TA-10000050,Furniture,Tables,Tables Model Standard 402,5030.6,4,0.0,2012.24
71,CA-2021-100048,2021-04-04,2021-04-10,Same Day,AM-67199,Ashley Miller,Home Office,United States,Detroit,Michigan,48201.0,Central,TEC-CO-10000368,Technology,Copiers,Copiers Model Lite 935,16214.52,7,0.0,6485.81
72,CA-2021-100048,2021-04-04,2021-04-10,Same Day,AM-67199,Ashley Miller,Home Office,United States,Detroit,Michigan,48201.0,Central,FUR-TA-10000062,Furniture,Tables,Tables Model Ultra 648,2800.79,7,0.1,933.6
73,CA-2024-100049,2021-04-06,2021-04-12,Standard Class,AD-79316,Amanda Davis,Consumer,United States,Chicago,Illinois,60611.0,Central,OFF-EN-10000231,Office Supplies,Envelopes,Envelopes Model Ultra 798,613.6,8,0.8,-1227.2
74,CA-2021-100050,2024-02-08,2024-02-14,Same Day,EJ-96057,Emily Jackson,Home Office,United States,Miami,Florida,33133.0,South,OFF-LA-10000091,Office Supplies,Labels,Labels Model Lite 484,664.83,3,0.0,265.93
75,CA-2021-100050,2024-02-08,2024-02-14,Same Day,EJ-96057,Emily Jackson,Home Office,United States,Miami,Florida,33133.0,South,TEC-PH-10000311,Technology,Phones,Phones Model Standard 986,444.99,6,0.5,-89.0
76,CA-2024-100051,2022-12-04,2022-12-10,Same Day,CT-35313,Claire Thomas,Corporate,United States,Columbus,Ohio,43215.0,East,FUR-FU-10000071,Furniture,Furnishings,Furnishings Model Standard 965,467.5,7,0.7,-467.5
77,CA-2022-100052,2022-02-16,2022-02-18,First Class,CW-51116,Claire Wilson,Corporate,United States,Detroit,Michigan,48201.0,Central,OFF-AP-10000177,Office Supplies,Appliances,Appliances Model Pro 287,115.75,3,0.8,-231.51
78,CA-2022-100052,2022-02-16,2022-02-18,First Class,CW-51116,Claire Wilson,Corporate,United States,Detroit,Michigan,48201.0,Central,OFF-SU-10000278,Office Supplies,Supplies,Supplies Model Standard 533,2123.34,6,0.0,849.34
79,CA-2024-100053,2021-01-27,2021-01-31,Standard Class,ET-63516,Emily Thomas,Consumer,United States,Richmond,Virginia,23219.0,South,FUR-FU-10000075,Furniture,Furnishings,Furnishings Model Lite 586,28.57,1,0.8,-57.13
80,CA-2023-100054,2021-10-27,2021-11-02,First Class,RA-16826,Robert Anderson,Corporate,United States,Columbus,Ohio,43215.0,East,OFF-SU-10000278,Office Supplies,Supplies,Supplies Model Standard 533,283.11,1,0.2,70.78
81,CA-2023-100054,2021-10-27,2021-11-02,First Class,RA-16826,Robert Anderson,Corporate,United States,Columbus,Ohio,43215.0,East,TEC-MA-10000346,Technology,Machines,Machines Model Lite 866,5234.95,9,0.1,1744.98
82,CA-2021-100055,2023-02-21,2023-02-25,First Class,EP-16258,Emily Powers,Consumer,United States,Columbus,Ohio,43215.0,East,FUR-BO-10000028,Furniture,Bookcases,Bookcases Model Standard 670,229.24,1,0.15,67.42
83,CA-2023-100056,2024-04-20,2024-04-24,Second Class,JT-81211,James Thomas,Home Office,United States,Burlington,North Carolina,,South,OFF-LA-10000100,Office Supplies,Labels,Labels Model Plus 541,689.79,5,0.4,0.0
84,CA-2023-100056,04/20/2024,2024-04-24,Second Class,JT-81211,James Thomas,Home Office,United States,Burlington,North Carolina,,South,OFF-LA-10000096,Office Supplies,Labels,Labels Model Plus 857,301.37,3,0.5,-60.27
85,CA-2022-100057,2021-11-26,2021-11-30,First Class,MS-76237,Michael Smith,Home Office,United States,Detroit,Michigan,48201.0, Central ,OFF-BI-10000170,Office Supplies,Binders,Binders Model Standard 640,3866.4,8,0.0,1546.56
86,CA-2023-100058,2021-05-30,2021-06-03,First Class,RW-15726,Robert Wilson,Corporate,United States,Milwaukee,Wisconsin,53202.0,Central,OFF-ST-10000113,Office Supplies,Storage,Storage Model Standard 708,468.25,3,0.5,-93.66
87,CA-2023-100058,2021-05-30,2021-06-03,First Class,RW-15726,Robert Wilson,Corporate,United States,Milwaukee,Wisconsin,53202.0,Central,OFF-PA-10000213,Office Supplies,Paper,Paper Model Plus 868,1777.45,9,0.5,-355.5
88,CA-2023-100059,2023-01-09,2023-01-11,Same Day,AW-76535,Amanda White,Home Office,United States,Columbus,Ohio,43215.0,East,TEC-AC-10000333,Technology,Accessories,Accessories Model Plus 398,137.89,1,0.0,55.16
89,CA-2023-100060,2023-02-21,2023-02-27,Standard Class,RA-64935,Robert Anderson,Home Office,United States,New York City,New York,10024.0, East ,OFF-AR-10000132,Office Supplies,Art,Art Model Plus 832,1662.57,9,0.15,488.99
90,CA-2023-100060,2023-02-21,2023-02-27,Standard Class,RA-64935,Robert Anderson,Home Office,United States,New York City,New York,10024.0, East ,OFF-FA-10000264,Office Supplies,Fasteners,Fasteners Model Ultra 310,1423.98,9,0.4,0.0
91,CA-2021-100061,2021-07-16,2021-07-18,Standard Class,ES-93238,Emily Smith,Home Office,United States,Columbus,Ohio,43215.0,East,FUR-CH-10000034,Furniture,Chairs,Chairs Model Lite 140,350.46,4,0.8,-700.91
92,CA-2022-100062,2024-01-07,2024-01-13,Same Day,JP-45058,James Powers,Corporate,United States,Miami,Florida,33133.0,South,FUR-CH-10000037,Furniture,Chairs,Chairs Model Ultra 410,1436.82,3,0.0,574.73
93,CA-2022-100062,2024-01-07,2024-01-13,Same Day,JP-45058,James Powers,Corporate,United States,Miami,Florida,33133.0,South,FUR-CH-10000045,Furniture,Chairs,Chairs Model Lite 609,476.68,2,0.0,190.67
94,CA-2023-100063,2023-04-15,2023-04-19,Same Day,WM-16743,William Martin,Corporate,United States,Seattle,Washington,98109.0,West,OFF-BI-10000162,Office Supplies,Binders,Binders Model Plus 290,226.68,1,0.3,32.38
95,CA-2021-100064,2023-01-03,2023-01-09,Standard Class,WW-21959,William Wilson,Corporate,United States,Los Angeles,California,90036.0,West,TEC-MA-10000352,Technology,Machines,Machines Model Standard 928,4129.8,5,0.7,-4129.8
96,CA-2021-100064,01/03/2023,2023-01-09,Standard Class,WW-21959,William Wilson,Corporate,United States,Los Angeles,California,90036.0,West,OFF-EN-10000225,Office Supplies,Envelopes,Envelopes Model Ultra 970,201.05,7,0.3,28.72
97,CA-2022-100065,2023-03-12,2023-03-16,First Class,CT-85598,Claire Thomas,Corporate,United States,Philadelphia,Pennsylvania,19104.0,East,FUR-FU-10000074,Furniture,Furnishings,Furnishings Model Plus 316,451.62,5,0.8,-903.24
98,CA-2022-100066,2021-09-10,2021-09-11,Same Day,RW-31012,Ryan White,Corporate,United States,Chicago,Illinois,60611.0,Central,OFF-SU-10000281,Office Supplies,Supplies,Supplies Model Ultra 180,442.92,2,0.15,130.27
99,CA-2022-100066,2021-09-10,2021-09-11,Same Day,RW-31012,Ryan White,Corporate,United States,Chicago,Illinois,60611.0,Central,TEC-CO-10000372,Technology,Copiers,Copiers Model Ultra 705,11995.88,6,0.1,3998.62
100,CA-2022-100067,2022-03-29,2022-04-02,First Class,AD-31632,Ashley Davis,Corporate,United States,Philadelphia,Pennsylvania,19104.0,East,FUR-TA-10000059,Furniture,Tables,Tables Model Pro 732,1696.89,3,0.8,-3393.78
101,CA-2023-100068,2024-10-07,2024-10-08,Standard Class,LD-27786,Laura Davis,Corporate,United States,Miami,Florida,33133.0,South,TEC-CO-10000372,Technology,Copiers,Copiers Model Ultra 705,22638.48,8,0.2,8399.98
102,CA-2023-100068,2024-10-07,2024-10-08,Standard Class,LD-27786,Laura Davis,Corporate,United States,Miami,Florida,33133.0,South,OFF-AR-10000121,Office Supplies,Art,Art Model Ultra 398,629.15,2,0.15,185.04
103,CA-2024-100069,2022-11-04,2022-11-08,First Class,MA-54869,Megan Anderson,Home Office,United States,Milwaukee,Wisconsin,53202.0,Central,TEC-PH-10000300,Technology,Phones,Phones Model Pro 333,335.68,3,0.7,-335.68
104,CA-2021-100070,2022-10-04,2022-10-06,Second Class,RD-53292,Ryan Davis,Home Office,United States,Burlington,North Carolina,,South,TEC-CO-10000379,Technology,Copiers,Copiers Model Plus 892,10521.8,7,0.15,3094.65
105,CA-2021-100070,2022-10-04,2022-10-06,Second Class,RD-53292,Ryan Davis,Home Office,United States,Burlington,North Carolina,,South,TEC-CO-10000376,Technology,Copiers,Copiers Model Lite 589,10031.51,6,0.4,0.0
106,CA-2021-100071,2021-12-26,2021-12-30,Standard Class,AA-74722,Amanda Anderson,Corporate,United States,Milwaukee,Wisconsin,53202.0,Central,FUR-FU-10000072,Furniture,Furnishings,Furnishings Model Ultra 679,3960.01,9,0.1,1320.0
107,CA-2021-100072,2023-11-05,2023-11-09,Same Day,JP-99486,Jessica Powers,Home Office,United States,Los Angeles,California,90036.0,West,TEC-PH-10000303,Technology,Phones,Phones Model Ultra 492,1843.64,4,0.0,737.46
108,CA-2021-100072,2023-11-05,2023-11-09,Same Day,JP-99486,Jessica Powers,Home Office,United States,Los Angeles,California,90036.0,West,OFF-SU-10000277,Office Supplies,Supplies,Supplies Model Ultra 743,574.7,8,0.8,-1149.41
109,CA-2022-100073,2023-08-10,2023-08-14,Standard Class,MF-84000,Michael Foster,Consumer,United States,Columbus,Ohio,43215.0,East,OFF-AP-10000187,Office Supplies,Appliances,Appliances Model Lite 617,2970.0,9,0.0,1188.0
110,CA-2024-100074,2021-11-23,2021-11-25,Second Class,MS-10895,Megan Smith,Corporate,United States,Philadelphia,Pennsylvania,19104.0, East ,TEC-CO-10000375,Technology,Copiers,Copiers Model Pro 157,6200.96,8,0.2,1550.24
111,CA-2024-100074,2021-11-23,2021-11-25,Second Class,MS-10895,Megan Smith,Corporate,United States,Philadelphia,Pennsylvania,19104.0, east ,OFF-AR-10000136,Office Supplies,Art,Art Model Standard 656,151.25,6,0.1,50.41
112,CA-2024-100075,2023-07-21,2023-07-27,Standard Class,ED-90658,Emily Davis,Corporate,United States,Milwaukee,Wisconsin,53202.0,Central,OFF-BI-10000166,Office Supplies,Binders,Binders Model Plus 310,146.39,2,0.5,-29.28
113,CA-2024-100076,2024-08-31,2024-09-04,Standard Class,AM-12389,Amanda Miller,Corporate,United States,Houston,Texas,77002.0,Central,OFF-AR-10000129,Office Supplies,Art,Art Model Ultra 951,2201.79,7,0.1,733.93
114,CA-2024-100076,08/31/2024,2024-09-04,Standard Class,AM-12389,Amanda Miller,Corporate,United States,Houston,Texas,77002.0,Central,OFF-AP-10000177,Office Supplies,Appliances,Appliances Model Pro 287,926.02,8,0.4,0.0
115,CA-2022-100077,2022-04-17,2022-04-18,First Class,RP-31465,Robert Powers,Corporate,United States,Boston,Massachusetts,2108.0,East,FUR-FU-10000077,Furniture,Furnishings,Furnishings Model Lite 677,997.41,3,0.0,398.96
116,CA-2024-100078,2022-11-08,2022-11-12,Same Day,AH-76809,Amanda Harris,Home Office,United States,Seattle,Washington,98109.0,West,OFF-FA-10000246,Office Supplies,Fasteners,Fasteners Model Pro 980,1561.9,8,0.1,520.64
117,CA-2024-100078,2022-11-08,2022-11-12,Same Day,AH-76809,Amanda Harris,Home Office,United States,Seattle,Washington,98109.0, West ,OFF-PA-10000211,Office Supplies,Paper,Paper Model Lite 373,429.0,1,0.1,143.0
